"gene_id","gene_name","n_targets","best_target","delta_corr","pseudotime_target","n_NORMAL","n_PRIMARY","n_MET","iso_up_id","iso_up_name","iso_down_id","iso_down_name","iso_up_corr","iso_down_corr"
"ENSG00000149289.11","ZC3H12C",81,"CAMP_UP.V1_UP",1.42676059502623,FALSE,0,6,48,"ENST00000278590.8","ZC3H12C-201","ENST00000528673.5","ZC3H12C-203",0.72231402362875,-0.704446571397478
"ENSG00000051009.11","FHIP1B",80,"SIRNA_EIF4GI_UP",1.4341642850992,FALSE,17,0,0,"ENST00000449352.7","FHIP1B-202","ENST00000524416.1","FHIP1B-203",0.671646157969009,-0.762518127130186
"ENSG00000174579.4","MSL2",80,"SRC_UP.V1_UP",1.49389153185845,FALSE,0,6,79,"ENST00000309993.3","MSL2-201","ENST00000434835.2","MSL2-202",0.748753845407466,-0.745137686450986
"ENSG00000103005.12","USB1",77,"CAMP_UP.V1_UP",1.43633505230732,FALSE,0,0,62,"ENST00000219281.8","USB1-201","ENST00000561743.5","USB1-205",0.766540859350165,-0.669794192957153
"ENSG00000102804.15","TSC22D1",74,"HALLMARK_P53_PATHWAY",1.3578798097938,FALSE,0,0,34,"ENST00000261489.6","TSC22D1-201","ENST00000458659.3","TSC22D1-203",0.667786159122507,-0.69009365067129
"ENSG00000188199.11","NUTM2B",74,"EIF4E_UP",1.37707613267204,FALSE,0,0,33,"ENST00000429828.6","NUTM2B-202","ENST00000372321.6","NUTM2B-201",0.679766402736627,-0.697309729935415
"ENSG00000135722.9","FBXL8",68,"HALLMARK_ADIPOGENESIS",1.3427847093111,FALSE,4,6,18,"ENST00000258200.8","FBXL8-201","ENST00000518148.1","FBXL8-203",0.684568287571998,-0.658216421739104
"ENSG00000198728.11","LDB1",68,"SRC_UP.V1_UP",1.52001656046133,FALSE,0,4,64,"ENST00000673968.1","LDB1-204","ENST00000425280.2","LDB1-202",0.765396808332152,-0.754619752129181
"ENSG00000164603.12","BMT2",64,"CYCLIN_D1_KE_.V1_UP",1.43125323273907,FALSE,0,2,49,"ENST00000297145.9","BMT2-201","ENST00000432572.1","BMT2-202",0.705416374071264,-0.725836858667801
"ENSG00000213967.12","ZNF726",64,"EIF4E_UP",1.37061197308915,FALSE,0,0,34,"ENST00000531821.6","ZNF726-203","ENST00000594466.6","ZNF726-205",0.685607831447798,-0.685004141641349
"ENSG00000063245.15","EPN1",63,"EIF4E_UP",1.58204146621267,FALSE,12,12,54,"ENST00000085079.11","EPN1-201","ENST00000270460.11","EPN1-202",0.820468138716705,-0.761573327495961
"ENSG00000100036.13","SLC35E4",63,"CAMP_UP.V1_UP",1.4194029533423,FALSE,0,0,48,"ENST00000343605.5","SLC35E4-201","ENST00000406566.1","SLC35E4-202",0.740757678218771,-0.678645275123527
"ENSG00000105372.8","RPS19",63,"PID_PI3KCI_AKT_PATHWAY",1.34239665641104,TRUE,0,0,0,"ENST00000593863.5","RPS19-202","ENST00000221975.6","RPS19-201",0.608509079506676,-0.733887576904365
"ENSG00000150779.12","TIMM8B",62,"CYCLIN_D1_KE_.V1_UP",1.37972266639315,FALSE,0,0,53,"ENST00000504148.3","TIMM8B-201","ENST00000541231.1","TIMM8B-204",0.68904136048158,-0.690681305911569
"ENSG00000102934.10","PLLP",61,"HALLMARK_ESTROGEN_RESPONSE_LATE",1.32933972335738,FALSE,4,18,0,"ENST00000219207.10","PLLP-201","ENST00000613167.4","PLLP-205",0.63324805402779,-0.696091669329593
"ENSG00000112200.17","ZNF451",61,"CAMP_UP.V1_UP",1.36796667149908,FALSE,0,0,29,"ENST00000370706.9","ZNF451-203","ENST00000370708.8","ZNF451-204",0.740560087256537,-0.627406584242542
"ENSG00000167118.11","URM1",60,"EIF4E_UP",1.49785168740532,FALSE,14,5,53,"ENST00000372853.9","URM1-203","ENST00000372850.5","URM1-202",0.787190626583943,-0.710661060821377
"ENSG00000173905.9","GOLIM4",60,"SRC_UP.V1_UP",1.34860429292356,FALSE,3,4,46,"ENST00000470487.6","GOLIM4-202","ENST00000309027.4","GOLIM4-201",0.675100147426097,-0.67350414549746
"ENSG00000105576.16","TNPO2",59,"GCNP_SHH_UP_LATE.V1_DN",1.39477612018032,FALSE,0,2,35,"ENST00000356861.9","TNPO2-201","ENST00000425528.6","TNPO2-202",0.751472366289849,-0.643303753890469
"ENSG00000264343.7","NOTCH2NLA",59,"EIF4E_UP",1.55166081178708,FALSE,0,11,32,"ENST00000687833.1","NOTCH2NLA-206","ENST00000579793.6","NOTCH2NLA-203",0.775348242594985,-0.776312569192095
"ENSG00000090565.17","RAB11FIP3",58,"PID_ERBB2_ERBB3_PATHWAY",1.34793160170145,FALSE,0,20,1,"ENST00000434585.5","RAB11FIP3-203","ENST00000262305.9","RAB11FIP3-201",0.710481667940686,-0.637449933760768
"ENSG00000127483.19","HP1BP3",58,"JAK2_DN.V1_DN",1.47329754357449,FALSE,27,2,3,"ENST00000375003.6","HP1BP3-203","ENST00000312239.10","HP1BP3-201",0.724150749337884,-0.749146794236605
"ENSG00000167641.11","PPP1R14A",58,"pseudotime",1.44573524910923,TRUE,0,1,0,"ENST00000301242.9","PPP1R14A-201","ENST00000587515.5","PPP1R14A-203",0.679340372150576,-0.766394876958653
"ENSG00000079335.20","CDC14A",57,"CAMP_UP.V1_UP",1.40627691486025,FALSE,0,1,43,"ENST00000336454.5","CDC14A-201","ENST00000644813.1","CDC14A-208",0.752792928661163,-0.653483986199092
"ENSG00000091656.19","ZFHX4",57,"CAMP_UP.V1_UP",1.32136116677637,FALSE,0,0,41,"ENST00000651372.2","ZFHX4-214","ENST00000518282.5","ZFHX4-204",0.668629689745028,-0.652731477031344
"ENSG00000163795.14","ZNF513",57,"PID_P75_NTR_PATHWAY",1.23751179573301,FALSE,3,0,0,"ENST00000323703.11","ZNF513-201","ENST00000407879.1","ZNF513-202",0.619827016484318,-0.617684779248695
"ENSG00000152767.17","FARP1",56,"GCNP_SHH_UP_LATE.V1_DN",1.30931420375792,FALSE,0,0,12,"ENST00000595437.5","FARP1-214","ENST00000596580.2","FARP1-219",0.627306034147371,-0.682008169610546
"ENSG00000178188.15","SH2B1",56,"EIF4E_UP",1.41423700151878,FALSE,1,3,24,"ENST00000359285.9","SH2B1-203","ENST00000337120.9","SH2B1-202",0.736084314984176,-0.678152686534603
"ENSG00000143450.19","OAZ3",55,"HALLMARK_ADIPOGENESIS",1.42961388267773,FALSE,0,0,6,"ENST00000321531.10","OAZ3-201","ENST00000479764.7","OAZ3-204",0.660528872109578,-0.76908501056815
"ENSG00000087269.16","NOP14",54,"CYCLIN_D1_KE_.V1_UP",1.33673564465581,FALSE,0,0,40,"ENST00000416614.7","NOP14-203","ENST00000398071.4","NOP14-202",0.664554030610531,-0.672181614045284
"ENSG00000099385.12","BCL7C",53,"RB_P130_DN.V1_UP",1.47786209753905,FALSE,0,13,53,"ENST00000215115.5","BCL7C-201","ENST00000572628.5","BCL7C-203",0.762181919256011,-0.715680178283037
"ENSG00000144645.15","OSBPL10",51,"JAK2_DN.V1_DN",1.43030487265867,FALSE,30,15,9,"ENST00000429492.6","OSBPL10-203","ENST00000396556.7","OSBPL10-201",0.732932785023068,-0.697372087635599
"ENSG00000134245.18","WNT2B",50,"PID_PI3KCI_AKT_PATHWAY",1.20271572126634,TRUE,10,0,0,"ENST00000369684.5","WNT2B-202","ENST00000369686.9","WNT2B-203",0.607563194237026,-0.595152527029318
"ENSG00000241258.7","CRCP",49,"CAMP_UP.V1_UP",1.38819362215442,FALSE,0,4,41,"ENST00000395326.8","CRCP-203","ENST00000338592.5","CRCP-201",0.74199789729626,-0.646195724858165
"ENSG00000253731.3","PCDHGA6",49,"PID_MET_PATHWAY",1.17656945208855,FALSE,10,42,0,"ENST00000517434.3","PCDHGA6-201","ENST00000610583.1","PCDHGA6-202",0.588284726044275,-0.588284726044275
"ENSG00000056277.16","ZNF280C",48,"CAMP_UP.V1_UP",1.41887907635659,FALSE,0,0,39,"ENST00000370978.9","ZNF280C-201","ENST00000447817.1","ZNF280C-202",0.720301926816427,-0.698577149540161
