id	filename	md5	size	state
f8b69065-5dc8-4392-915b-1bc3c6059725	afbbc370-5970-43d3-b9f8-f40f8e649bb6_gdc_realn_rehead.bam	e8f1f4bad8e2a4b565670c2c4bcd8b62	12136391077	released
c13bfc0c-de93-4904-8f0a-7d63a4e46831	b9e8308b-72b2-42e0-91cd-06dd2d026ba3_gdc_realn_rehead.bam	99175d6f426b96b3e041fead9ac7852f	7921555568	released
96e75404-fc6f-4a3d-8edb-ae8f13048b31	b6e6a89b-7753-41fc-b59c-0a2e8cf2fdbb_gdc_realn_rehead.bam	d8c9c8b9f377699960339fb77417e47a	8064044029	released
efee5692-64fc-46eb-9d20-46f2090c65d2	aeb00189-6646-4c9a-be3d-5c3f3d9580b3_gdc_realn_rehead.bam	6fe33523c418fb46184871f69e0a20c4	9281012728	released
9a3ae902-21d1-404a-9799-ab707618458d	9255bbba-aaf5-4483-8c94-ec129fc2f958_gdc_realn_rehead.bam	844d6f1095c5f83034c769ac7c385792	7977572208	released
eec034f5-d68d-4a58-80fd-1cc4a19c7ee6	431d25c8-469d-430b-9150-1bdaa1d28ebe_gdc_realn_rehead.bam	e6c602692fbfa374df284e94170df888	5336734121	released
90c1a5fd-552c-4edf-a51f-99f6dc57554d	b6546f66-3c13-4390-9643-d1fb3d660a2f_gdc_realn_rehead.bam	c18f8c9df1b554936cc136ebc31a50d4	3998220957	released
2e155a74-6524-48c9-a612-b2a45ac849a9	125a4b04-017e-4847-b6cd-81cbaba5e541_gdc_realn_rehead.bam	1ba386c2c1f21920c95d13788221b872	6104041074	released
208ef97d-5bbe-4ea0-afac-c71994aa593e	e9ac7b63-71df-4cad-845e-31afaee51f05_gdc_realn_rehead.bam	30a06a942a51ea59cd5c051ba65538d7	9635516644	released
6866332e-ed55-4549-94cf-3c748ae2860e	1339b46a-1538-46f7-8606-dc88919bcd42_gdc_realn_rehead.bam	4eed87a4e8f26edff3757f992516d0db	9078821763	released
8e37a3d8-01e2-4f3e-b8a6-de48e62e9770	f350a4ef-d712-4a34-ab14-80760bf6820d_gdc_realn_rehead.bam	31c694fec1752adca8f88fa9576e1a8c	4797590077	released
2c4156de-1e08-40dc-802b-f575f9bea90a	5eaaa582-b275-446f-98c2-ab9403cb9ee2_gdc_realn_rehead.bam	4d6401b80f85fe3b0f7a24fcd172dc61	8773733348	released
9e9f64c5-4c11-4df5-81a0-46a4ac3580d3	b134bdba-103f-41b9-9197-ce0b9e5e0ccf_gdc_realn_rehead.bam	2114cb1c5593a0f9d91980b984252b1e	8610221223	released
36b8438f-d207-451c-9b08-cec98c3c36a0	fcab187d-9d7f-4d94-b3a0-ec3568c1bc5f_gdc_realn_rehead.bam	d79a2ca9176bf4a4d6df236859094419	6339952558	released
d5efd885-5227-47c3-bc2f-fc6c87053578	ec8525d9-4ee9-4966-977b-cb47ab2c3033_gdc_realn_rehead.bam	ce292f890f56f77ea90b14f4558cab5b	8814709429	released
72c1b860-1b3f-4b72-be79-3e3324fe89e0	6d29b456-7afa-41e2-a1e8-94e82affb473_gdc_realn_rehead.bam	8364a8be7be185a98af9255015ca6b5b	7046002717	released
f0fbcf58-af66-40ad-8b95-06d6ef9c42e8	5dc41e31-05d0-479b-99d7-d3d874ec54a3_gdc_realn_rehead.bam	4a87dc126e667990a9ab829f950ef390	9170135999	released
9f881762-34ba-40a9-8271-63c5d3a35d9b	0d01c3b9-9d62-4bbb-ac8a-88c2e0a84a0a_gdc_realn_rehead.bam	9d81e266425052490a1f7b4dd9869ec2	7462536775	released
d0f9a9c1-433f-4c56-91b8-ea8381eb0cc7	29b8e57f-c75e-46bc-96f5-b9cb8fb9740f_gdc_realn_rehead.bam	d475964847659adab020120c8ddf5ca6	7334187304	released
4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9	0991dae5-2744-4ad7-af90-12aca9aa6c29_gdc_realn_rehead.bam	4f9a62124f4fc40943bc7838c8f3f5f8	7838303542	released
c83615eb-9452-415d-9d54-3172f9b508bb	4683d8f4-28da-4729-af9e-3cf3bad1e513_gdc_realn_rehead.bam	f1a124b024662a73deed68387f8bb9f3	3308382542	released
2aacdd95-7a2b-4f2f-b3e8-b89e04f9d463	cd4bfbb4-4fdd-45d4-a89b-3b65b9e0a695_gdc_realn_rehead.bam	97d7297d840a87e0546a05f90e3c4669	9863517487	released
bf1dd0a5-0468-48b3-bdc8-39b437236350	5698ce35-3e3c-4328-aa93-575150dc1101_gdc_realn_rehead.bam	610da1c89012f4374f4ad67f6eadf84b	8178122193	released
83fd57c2-d699-485f-b39c-6a8998285ff1	1306b91d-7c22-4407-855e-c5edf4bf530a_gdc_realn_rehead.bam	fefe5da32ae8cac2a8362eccdbfaf975	9523833491	released
568db38f-d1d3-4d4b-b171-3590deddf6f0	e5d47ac0-d447-4afe-b2ba-d110703c6b1b_gdc_realn_rehead.bam	bd4e6667915ebecddad1c06c0dbca25c	4378257822	released
02662f3c-f7ea-4251-bec8-f4ed6bdd1ff5	6e915913-9fdc-4da0-b7bb-79c130a39963_gdc_realn_rehead.bam	33fc5499c1e80ba2dfb846e9ca6ad178	10170458340	released
68dba1a6-5a69-490d-8d92-be2bc0828df3	05c8b0e4-57a5-49aa-aec0-fc79b15919a7_gdc_realn_rehead.bam	a303c798195e3767c4ab817be7ba3c12	5812212578	released
923f1d11-b7b5-49b9-9d3a-f037a974d65b	8b3d4a3d-2bfa-48f8-b31f-901f49a5bf6b_gdc_realn_rehead.bam	f18a8d0c7dd8457b8448697018630a1f	7972522387	released
4ca75b49-9a93-4972-b852-9d4821321807	7344138a-255b-401a-bbab-c211d33aa4de_gdc_realn_rehead.bam	da4277382d5e37f83d527e6ef4088850	12986910191	released
dca31650-cad5-4fd4-8816-ed571afb54ad	a2626c4f-8a93-4009-83f6-a777bf4917e1_gdc_realn_rehead.bam	9d688cb5da23b05d98c96bcc3df15893	6290733959	released
db36e05c-3a5a-4c5f-ad51-43193d967fa6	738a6ee1-4a78-4896-9ce1-4941bf1a24e4_gdc_realn_rehead.bam	4e93301bcf5bf0588c189e444f98d283	11328667854	released
56b1d8a7-1827-43ae-a08d-6f8419fc5fd0	de7a3f63-9ca1-46a4-8c96-2c335d695a00_gdc_realn_rehead.bam	c557d202ea0ef0bacbea4f99ab6e6d97	7568751686	released
309b6de1-4442-4259-be57-3ce9993a9018	fd2e7f15-37fe-42c0-96a2-465852ad0897_gdc_realn_rehead.bam	5ee85b659fbf2fb07ac355959a38168d	8111595930	released
7219d88d-e73b-4e2b-9da6-43b8ab38c046	1b241753-317d-4bbf-8b94-f11e397eab41_gdc_realn_rehead.bam	ce9f8b2272897697d341b7c45ff2a5bd	8798314934	released
1e9cfeda-eeff-458e-ab59-8e8fe6c756a9	e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead.bam	2f16b1f9a456eb0aeb1f229b4271193d	4187116432	released
cf978c93-7d2c-4d06-9082-92e8dcd0ec0b	cfe36b6a-6fd2-41a0-9a9b-2123e47f4153_gdc_realn_rehead.bam	3816e911f2620b5594cfb74bc1ff0c25	5370414948	released
ba5c394f-6645-40c0-8c6c-d49afbc63a59	1210c479-c346-4e07-a389-dc424fbcecb1_gdc_realn_rehead.bam	ecc50fffb097916a8b4334dd84030833	7548348086	released
364ef418-4b6a-4a3e-84f9-57ca755e1101	d5761094-167c-4371-87fb-11b3f55fda9a_gdc_realn_rehead.bam	13cb97c8d05c22a9cdeeae1505157652	7886871061	released
1b3ecd57-0440-47fc-8239-a6cd02ff3c1f	8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead.bam	595f371801a6e26bf950204ccf6b07f4	11914024332	released
b66c0f6c-664d-4372-91d1-e65f07c25088	39963910-64db-4b1b-97d0-f19febf82819_gdc_realn_rehead.bam	9de9a8bf0e58b1d2c669793306969417	4127283703	released
1d37daf8-25ae-4374-8c4f-815bb0a14f09	444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead.bam	40515c758e15ab162ad3f8f106de56d0	11773624233	released
2c6c387f-dd1f-4de6-b12f-eca1c8d73609	0479a56f-37bf-4e6c-9c62-742f5d394570_gdc_realn_rehead.bam	691bb08a8bb08c09e1d03d334b4031bd	5981714735	released
db7a849a-4881-494e-af7e-c06cb6c19a9c	82a24622-9907-4ad2-b7ce-880eca2c4b92_gdc_realn_rehead.bam	d3edae216c3e7bbcd9790090044276e0	9223784657	released
80b7d4cc-8251-458e-aef1-6c022242e297	e1e74aa0-80b7-456c-83f4-d1ed82c88010_gdc_realn_rehead.bam	fd881b426aaeabea732dd7ab6f95cbf2	6916783790	released
ff18a2b2-529a-4bf5-a0d0-4f5dbcb05379	a357e006-68c7-4101-8a21-d3ef469babbe_gdc_realn_rehead.bam	75e7019c7fe62bcdace11a5df026d15e	11041305895	released
